restaurant_id,restaurant_name,cuisine_type,tier,zone,avg_prep_time_mins,rating,is_active
REST0001,Restaurant_1,Healthy,QSR,Business Bay (Dubai),19,4.2,True
REST0002,Restaurant_2,Western,QSR,Khalidiya (Abu Dhabi),5,3.7,True
REST0003,Restaurant_3,Indian,Premium,Khalidiya (Abu Dhabi),40,3.4,True
REST0004,Restaurant_4,Asian,Casual,Corniche (Abu Dhabi),16,4.3,True
REST0005,Restaurant_5,Western,QSR,Yas Island (Abu Dhabi),16,3.2,True
REST0006,Restaurant_6,Asian,Casual,Business Bay (Dubai),25,3.9,True
REST0007,Restaurant_7,Healthy,QSR,Downtown (Dubai),16,4.1,True
REST0008,Restaurant_8,Asian,Premium,Yas Island (Abu Dhabi),40,5.0,True
REST0009,Restaurant_9,Western,Casual,Al Reem (Abu Dhabi),18,3.2,True
REST0010,Restaurant_10,Healthy,Fine Dining,Business Bay (Dubai),45,4.7,True
REST0011,Restaurant_11,Western,Fine Dining,Yas Island (Abu Dhabi),53,3.7,True
REST0012,Restaurant_12,Asian,Premium,JLT (Dubai),36,4.3,True
REST0013,Restaurant_13,Asian,Casual,Yas Island (Abu Dhabi),27,3.5,True
REST0014,Restaurant_14,Asian,Premium,Al Nuaimiya (Ajman),39,3.3,True
REST0015,Restaurant_15,Emirati,Casual,Yas Island (Abu Dhabi),25,4.5,True
REST0016,Restaurant_16,Emirati,Casual,Corniche (Abu Dhabi),28,4.9,True
REST0017,Restaurant_17,Healthy,Casual,Deira (Dubai),19,4.2,True
REST0018,Restaurant_18,Healthy,QSR,Al Qasimia (Sharjah),18,4.9,True
REST0019,Restaurant_19,Healthy,QSR,Al Nahda (Sharjah),20,4.4,False
REST0020,Restaurant_20,Healthy,QSR,Al Rashidiya (Ajman),17,4.1,True
REST0021,Restaurant_21,Indian,Premium,Khalidiya (Abu Dhabi),36,4.4,True
REST0022,Restaurant_22,Indian,Casual,JLT (Dubai),19,3.6,True
REST0023,Restaurant_23,Western,QSR,Khalidiya (Abu Dhabi),12,4.4,True
REST0024,Restaurant_24,Indian,QSR,Khalidiya (Abu Dhabi),8,4.6,True
REST0025,Restaurant_25,Indian,Premium,Deira (Dubai),39,4.4,True
REST0026,Restaurant_26,Western,Casual,Al Nuaimiya (Ajman),30,4.7,True
REST0027,Restaurant_27,Asian,Casual,Al Rashidiya (Ajman),18,4.4,True
REST0028,Restaurant_28,Emirati,Fine Dining,Khalidiya (Abu Dhabi),55,4.7,True
REST0029,Restaurant_29,Emirati,Premium,JLT (Dubai),37,4.4,True
REST0030,Restaurant_30,Western,Casual,Al Majaz (Sharjah),18,3.2,True
REST0031,Restaurant_31,Healthy,Premium,Al Majaz (Sharjah),28,4.4,True
REST0032,Restaurant_32,Indian,Casual,Al Rashidiya (Ajman),22,4.6,True
REST0033,Restaurant_33,Emirati,QSR,Khalidiya (Abu Dhabi),20,4.5,True
REST0034,Restaurant_34,Western,QSR,JLT (Dubai),19,4.4,True
REST0035,Restaurant_35,Indian,Casual,Downtown (Dubai),24,3.1,True
REST0036,Restaurant_36,Asian,Casual,Business Bay (Dubai),20,4.1,True
REST0037,Restaurant_37,Asian,Casual,Downtown (Dubai),19,3.3,True
REST0038,Restaurant_38,Indian,QSR,Marina (Dubai),11,4.2,True
REST0039,Restaurant_39,Asian,QSR,Al Qasimia (Sharjah),17,4.0,True
REST0040,Restaurant_40,Indian,Fine Dining,Al Reem (Abu Dhabi),50,4.0,True
REST0041,Restaurant_41,Indian,Premium,Al Nuaimiya (Ajman),40,3.4,True
REST0042,Restaurant_42,Emirati,QSR,JLT (Dubai),12,3.6,True
REST0043,Restaurant_43,Emirati,QSR,Al Nahda (Sharjah),11,3.7,True
REST0044,Restaurant_44,Emirati,Premium,Al Nuaimiya (Ajman),32,4.5,True
